id,knowledge_id,epic_id,feature_id,title,source_document,source_section,architecture_component,points
"I08-E01-F-KITE-S01","SMA-KITE-0001","I08-E01 Zerodha integration","I08-E01-F-KITE Kite Connect foundation","Implement Kite API credential configuration","docs/KITE/kite documentation.md","Getting Started and Developer Account Setup","Configuration Registry","5"
"I08-E01-F-KITE-S02","SMA-KITE-0002","I08-E01 Zerodha integration","I08-E01-F-KITE Kite Connect foundation","Implement Kite login URL endpoint","docs/KITE/kite documentation.md","Authentication login flow","Broker Authentication Adapter","5"
"I08-E01-F-KITE-S03","SMA-KITE-0003","I08-E01 Zerodha integration","I08-E01-F-KITE Kite Connect foundation","Implement Kite request-token callback","docs/KITE/kite documentation.md","GenerateSession request token exchange","Broker Authentication Adapter","5"
"I08-E01-F-KITE-S04","SMA-KITE-0004","I08-E01 Zerodha integration","I08-E01-F-KITE Kite Connect foundation","Implement Kite session expiry handling","docs/KITE/kite documentation.md","SetSessionExpiryHook and 403 handling","Broker Session Service","5"
"I08-E01-F-KITE-S05","SMA-KITE-0005","I08-E01 Zerodha integration","I08-E01-F-KITE Kite Connect foundation","Implement Kite API version header policy","docs/KITE/kite documentation.md","X-Kite-version API versioning","Broker HTTP Client","5"
"I08-E01-F-KITE-S06","SMA-KITE-0006","I08-E01 Zerodha integration","I08-E01-F-KITE Kite Connect foundation","Implement Kite instrument sync","docs/KITE/kite documentation.md","Instruments and symbol metadata","Reference Data Platform","5"
"I08-E01-F-KITE-S07","SMA-KITE-0007","I08-E01 Zerodha integration","I08-E01-F-KITE Kite Connect foundation","Implement Kite WebSocket ticker connection","docs/KITE/kite documentation.md","WebSocket live streaming data","Market Data Platform","5"
"I08-E01-F-KITE-S08","SMA-KITE-0008","I08-E01 Zerodha integration","I08-E01-F-KITE Kite Connect foundation","Implement Kite WebSocket reconnect policy","docs/KITE/kite documentation.md","EnableReconnect, OnReconnect, OnNoReconnect, OnError, OnClose","Market Data Platform","5"
"I08-E01-F-KITE-S09","SMA-KITE-0009","I08-E01 Zerodha integration","I08-E01-F-KITE Kite Connect foundation","Persist Kite live ticks","docs/KITE/kite documentation.md","OnTick event handler","Market Data Storage","5"
"I08-E01-F-KITE-S10","SMA-KITE-0010","I08-E01 Zerodha integration","I08-E01-F-KITE Kite Connect foundation","Generate one minute candles from Kite ticks","docs/KITE/kite documentation.md","Live tick stream to market data milestone","Candle Aggregation Service","5"
"I08-E01-F-KITE-S11","SMA-KITE-0011","I08-E01 Zerodha integration","I08-E01-F-KITE Kite Connect foundation","Implement Kite holdings retrieval","docs/KITE/kite documentation.md","GetHoldings portfolio API","Broker Portfolio Adapter","5"
"I08-E01-F-KITE-S12","SMA-KITE-0012","I08-E01 Zerodha integration","I08-E01-F-KITE Kite Connect foundation","Implement guarded Kite order placement adapter","docs/KITE/kite documentation.md","PlaceOrder API example","Execution Safety Adapter","5"
